2121,2275,27
2201,2376,30
2509,2624,29
2408,2574,25
2408,2372,29
2353,2447,31
2488,2262,29
2471,2161,25
2716,1887,30
2344,2211,27
2319,2182,24
1876,1942,31
2146,1630,27
2281,1365,27
1978,1659,24
1956,1664,19
1708,1158,26
1712,1095,17
1881,1424,12
1847,1436,12
560,2405,28
497,2262,21
501,2220,26
594,2190,25
548,2203,21
531,2165,25
539,2110,21
577,2115,19
455,2093,21
485,2077,16
518,2056,24
320,2026,27
337,2056,21
248,1967,18
261,1946,22
354,1710,24
792,1967,21
2129,2287,29
556,2409,20
506,2266,21
501,2224,27
607,2283,17
603,2182,16
552,2169,18
590,2106,15
552,2110,17
447,2102,28
489,2081,17
518,2056,21
333,2068,21
316,2022,21
248,1971,21
257,1942,21
776,1967,25
738,1862,16
780,1761,24
771,1630,18
535,1799,22
358,1706,22
417,1668,21
1041,2085,24
995,2157,21
1079,1971,21
1033,1832,17
986,1735,19
1020,1731,22
1058,1727,21
