1923,2346,25
2560,2574,21
3011,2241,21
2981,2127,22
2948,2110,25
2948,1655,21
2990,1643,21
2914,1571,22
2724,1516,31
2673,1474,21
2648,1415,28
2644,2026,17
2467,1697,28
2467,1402,35
2425,1360,24
2142,1411,26
2041,1129,30
2100,1196,25
1809,1221,36
1952,1453,30
1961,1693,30
1914,1706,34
2079,1849,29
2096,1777,37
2091,1895,22
2235,2026,28
1315,2081,22
1265,1912,28
1193,1891,40
1126,1794,18
1239,1727,18
1396,1773,21
1699,1588,26
1741,1643,28
1130,1676,26
1071,1634,30
1003,1626,32
970,1546,35
974,1845,24
898,1849,25
927,1803,24
657,1702,26
767,1605,34
721,1247,21
611,1285,17
522,1276,23
641,1259,25
269,1335,23
282,1373,25
248,1381,21
21,1461,25
1138,615,18
645,1718,20
