1927,2468,35
2150,2641,23
2745,2776,25
2640,2641,20
2564,2485,17
2543,2456,20
2884,2136,21
2294,1887,26
2340,1807,26
2256,1807,17
2218,1744,21
2172,1782,25
2150,1824,13
1965,2228,17
2222,2304,17
2159,2300,24
2024,1756,21
2193,2001,21
1826,1942,25
1821,1520,26
1775,1516,28
1952,1474,24
1855,1335,22
1598,1782,17
1379,1807,29
1311,1756,26
1286,1980,21
910,1735,26
1058,1613,31
847,1651,26
641,1714,27
598,1714,31
603,1874,25
219,1263,30
223,1065,17
80,1082,22
12,1044,26
88,1204,17
818,564,18
1640,1440,22
1644,1499,47
