396,2195,29
463,2262,32
417,2283,28
687,2001,30
830,1887,36
780,1870,25
759,1807,8
944,1971,34
978,1988,21
1029,2098,16
1092,2089,22
1358,2043,43
1387,2018,43
1290,1950,36
1944,2030,17
1961,2018,25
2842,2304,41
2956,2106,17
2606,1887,22
2446,1900,22
2412,1845,21
2269,1845,25
2167,1946,32
2045,1870,30
1952,1836,34
1821,1912,25
1796,1950,27
2138,1773,19
2193,1761,26
2277,1672,21
2307,1626,15
2391,1630,13
2252,1504,54
2024,1567,43
2045,1529,43
2003,1638,46
1897,1537,17
1463,1832,17
1303,1761,18
1197,1651,26
1092,1697,21
1408,1710,38
1463,1697,17
1429,1630,21
1526,1638,28
1530,1601,38
1564,1537,17
1665,1453,22
1560,1377,21
1463,1483,22
1509,1483,10
1429,1453,17
1442,1402,17
1362,1436,26
1168,1318,29
480,1815,9
497,1866,13
510,1921,27
544,1895,12
455,2005,26
