3002,2473,31
2648,2287,21
2602,2291,25
2387,2717,21
1906,2473,24
2121,2186,30
2589,1727,22
2505,1609,30
2530,1634,26
2471,1681,26
2374,1870,22
2201,1579,26
2382,1537,34
1826,1912,30
1994,1592,27
1805,1322,30
2214,1036,24
2024,1268,22
1602,1672,34
1518,1735,26
974,1647,38
877,1706,38
822,1542,29
573,1588,30
873,526,30
299,1116,25
303,1204,13
489,1331,21
257,1230,15
231,1213,13
269,1259,17
151,1162,17
50,1120,21
2665,2548,17
2686,2430,15
2720,2435,8
2728,2418,13
2901,2359,15
2863,2258,13
2893,2199,11
2728,2245,17
2779,2152,15
2834,2173,13
2914,2157,22
2100,2797,21
1421,1276,17
