92,2178,22
134,2199,22
219,2136,21
202,1950,28
50,1799,18
21,1718,12
371,1782,27
345,1756,21
320,1697,23
535,1895,35
598,1933,32
691,2081,25
771,2068,26
1155,1975,38
1172,1967,30
1033,1866,30
1299,1718,21
1071,1613,22
754,1508,28
919,1432,28
409,1242,20
472,998,21
729,939,17
910,998,22
1142,1133,27
1164,1221,25
1248,1234,26
1261,1171,26
1273,1099,24
1320,1209,27
1471,1065,23
1611,1167,27
1248,1512,25
1269,1440,17
1307,1525,25
1425,1432,26
1429,1377,27
1779,1866,29
1809,1824,17
1994,1980,21
2015,1967,17
2075,1967,30
2298,1849,32
2433,1714,22
2492,1756,24
2657,1714,24
2711,1799,21
2926,1777,23
2711,1849,21
2121,1740,27
2155,1773,29
2007,1714,13
2015,1668,23
2340,1584,22
2273,1626,17
2471,1478,17
2648,1436,22
2517,1415,27
2467,1238,19
2323,1419,30
2096,1436,25
2117,1314,26
2155,1276,24
2188,1276,21
1931,1293,28
1775,1251,22
1724,1167,23
