476,2477,41
303,2283,31
624,2199,39
1092,2296,34
944,2224,38
919,2186,25
889,2152,38
894,2043,38
506,1950,33
632,1921,32
518,1832,36
577,1790,30
459,1782,55
463,1685,23
425,1685,31
307,1681,36
636,1697,26
691,1706,38
721,1668,25
1433,2022,47
2522,2650,29
2264,1491,32
2210,1504,37
2340,1504,43
2821,2696,40
2948,1537,41
2058,1373,38
1341,1554,33
1290,1449,30
1530,1495,26
2104,1571,29
2256,1925,29
2328,1866,22
2446,1777,29
1918,998,34
1923,817,22
2437,804,43
1307,1141,26
1265,1099,30
1324,1061,26
1235,952,15
894,1377,16
864,1272,21
970,1124,33
906,1065,27
