2998,1820,22
2783,1824,17
2724,1748,25
2568,1790,27
2505,1748,26
2361,1891,30
2412,1617,30
2543,1512,21
2720,1478,22
2585,1445,22
2530,1268,20
2560,1289,16
1940,2582,30
2053,2013,22
2087,1997,22
2125,1997,25
2188,1782,22
2210,1811,26
2344,1659,27
2395,1461,22
2159,1470,29
2188,1352,27
2222,1318,25
2273,1297,30
2075,1752,26
2087,1697,21
1847,1904,29
1868,1858,25
1990,1331,18
1227,2018,30
1252,1980,22
1362,1752,26
1678,1213,18
1796,1209,19
1843,1272,26
1117,1879,22
1096,1916,21
1535,1331,27
1535,1103,22
1471,1251,17
1383,1234,28
1336,1200,31
1349,1141,34
1218,1183,30
1370,1554,27
1311,1537,24
1328,1461,19
1142,1634,30
991,1466,31
1007,1032,28
974,1032,17
797,977,21
1041,1268,21
1126,1175,22
552,1040,17
480,1285,21
835,1537,29
826,2093,21
759,2110,25
666,1963,30
603,1916,35
202,2211,21
160,2199,24
295,2148,30
269,1971,26
455,1799,26
417,1799,25
388,1710,22
839,1803,34
54,1988,21
113,1815,13
88,1744,13
1248,2489,17
