8,1563,29
75,1617,31
265,1440,34
641,1419,39
805,1676,30
877,1689,25
1067,1718,38
1265,2140,28
1294,2085,21
1400,2034,35
1450,2022,32
1838,2165,30
1906,2060,34
1695,1967,28
1775,1963,30
1859,2030,27
1661,2173,30
1864,1895,36
1914,1904,34
2538,2030,30
2210,1335,26
2197,1306,22
2247,1280,26
1914,1411,34
1602,1150,35
1446,1065,24
1320,1036,35
1172,1108,25
1134,1049,32
1100,876,34
337,1268,25
442,1268,27
447,1145,29
459,1086,21
573,1091,25
615,1179,26
776,1082,34
894,910,26
847,901,22
725,985,25
489,1512,33
