3029,1756,22
2990,1726,20
2905,1850,27
2845,1594,23
2666,1603,27
3029,1654,31
2722,2272,21
2419,2127,30
2299,2165,29
2210,2020,34
2350,1666,36
2299,1641,34
2167,1905,34
2333,1820,33
2180,1330,29
1979,1355,34
2137,1560,27
2158,1500,27
2137,1671,36
2009,1377,32
2141,1406,31
1920,1138,30
1651,1577,36
1890,1828,38
1442,1765,43
1250,1799,34
1305,1747,39
1160,1368,35
1194,1377,0
1561,1296,30
1617,1215,38
1574,1513,34
1361,1296,43
1390,1151,40
1083,1909,31
1032,2093,34
1096,2101,35
669,2310,36
631,2361,43
588,2310,40
832,1274,28
742,1180,30
618,1112,32
678,1044,31
443,1061,38
371,993,36
285,1023,39
