2808,1916,38
2851,1542,27
2804,1453,34
2707,1369,34
2572,1365,40
2610,1466,34
2766,1289,18
2956,842,35
2231,1006,20
2197,977,21
2252,926,25
2083,825,13
2125,796,25
2808,910,28
2543,1984,25
1914,2338,30
1994,2384,24
2113,2237,26
2146,2190,30
2281,2098,31
2408,2161,33
2205,2047,30
2361,1765,31
2382,1630,22
2323,1676,9
2311,1681,30
1978,2081,30
1687,2165,39
1606,2401,30
1522,2089,31
1252,2068,19
1210,2064,25
923,2157,38
784,2157,39
25,2481,38
1210,1925,34
1269,1727,39
1100,1651,21
1644,1853,34
1737,1697,30
1851,1622,17
1897,1622,36
1897,1558,32
1830,1584,29
1552,1613,31
1573,1563,25
1480,1613,25
1851,1011,26
1792,960,24
2087,1461,21
2475,1044,27
