2342,381,33
2324,451,26
2420,512,42
2620,638,41
2759,711,33
2711,703,27
3011,920,29
2693,1067,19
2481,950,23
2433,920,27
2424,1006,21
2011,1089,22
1781,1111,31
2198,1193,26
1955,1297,13
1924,1610,27
1998,1831,22
2029,1914,34
2172,1896,15
2211,1796,23
2363,1744,19
2433,1788,35
2389,1983,18
2528,1905,22
2633,2100,26
2672,2131,29
2715,2144,27
2667,2183,18
2737,2213,26
1924,1961,23
1868,1966,27
1803,1961,31
1885,2139,26
1990,2378,19
1924,2560,37
1477,2374,22
1407,2196,31
1472,2031,22
1108,2122,26
851,1983,22
695,2356,30
682,2382,43
790,2482,26
977,2582,31
1029,2578,31
1081,2534,31
1168,2625,35
1125,2621,31
1199,2721,24
1125,2708,34
1060,2769,24
1047,2864,21
1147,3125,24
