29,669,40
156,636,38
535,1343,35
594,1272,38
514,1255,41
915,1141,43
632,653,43
666,589,40
982,792,39
1239,438,22
1311,429,30
1362,497,30
1429,522,43
1336,749,40
1210,1175,34
1235,1318,22
1619,1259,46
1691,880,31
1750,884,36
1746,817,33
1940,838,45
1691,1626,39
1872,1668,41
1990,1727,42
2779,1483,34
2867,1352,31
2829,1394,29
2007,2220,43
1973,2106,38
2113,2186,37
2205,2127,32
2247,2169,32
2315,2131,35
2572,2300,31
2657,2203,46
2602,2152,50
2610,2013,38
2488,2085,25
2517,2060,30
2964,1959,23
42,1520,41
33,1449,31
1235,438,38
